voteresult,SCIij,leave rate,GDHIperhead_pounds_2016,rate_60,No Qualifications,Other Qualifications,Below NQF Level 2,NQF Level 2,Trade Apprenticeships,NQF Level 3,NQF Level 4 and above,(16-64)unemployment rate,(16-64)Economic inactivity rate,Claimant Count rate,job density(16-62) ratio
1,353,0.5808,19181,0.24918788,0.063,0.069,0.144,0.209,0.035,0.202,0.278,4.27,17.13,3.28,0.72
1,719,0.7228,17922,0.184113693,0.092,0.113,0.174,0.139,0.042,0.179,0.26,4.68,19.93,2.38,0.7
1,347,0.6102,18799,0.278980871,0.06,0.059,0.148,0.174,0.046,0.164,0.349,3.98,21.61,1.89,0.74
1,594,0.6043,23660,0.243265419,0.09,0.047,0.148,0.206,0.039,0.169,0.302,2.75,21.59,1.63,0.88
1,383,0.5645,23445,0.267328828,0.046,0.057,0.116,0.209,0.063,0.17,0.338,3.37,22.23,1.14,0.88
1,303,0.6915,19820,0.265307349,0.078,0.089,0.138,0.177,0.047,0.185,0.286,3.47,19.21,1.85,0.73
0,996,0.2504,45999,0.163963553,0.025,0.075,0.039,0.076,0.008,0.101,0.675,4.59,25.33,1.51,5.46
0,2248,0.3103,53336,0.169957767,0.027,0.061,0.034,0.057,0.007,0.107,0.707,12.19,23.42,1.53,4.35
0,1924,0.3052,58389,0.179847466,0.037,0.096,0.043,0.073,0.008,0.119,0.623,6.71,19.79,2.73,1.36
0,1436,0.2497,37486,0.131535141,0.021,0.104,0.047,0.084,0.003,0.139,0.601,2.93,12.75,1.53,0.64
0,2050,0.3424,19784,0.113204185,0.06,0.112,0.069,0.1,0.01,0.112,0.537,6.15,22.57,2.33,0.64
0,1964,0.3254,24478,0.093720898,0.04,0.058,0.044,0.082,0.015,0.089,0.672,5.61,21.1,2.9,1.43
0,1999,0.246,28487,0.136259469,0.028,0.068,0.053,0.088,0.004,0.141,0.617,5.2,20.71,2.45,0.95
0,1330,0.2864,23444,0.131490964,0.034,0.068,0.057,0.08,0.016,0.11,0.635,6.47,14.24,3.13,0.91
0,1512,0.2138,27083,0.122639122,0.021,0.064,0.042,0.08,0.008,0.129,0.656,8.93,14.82,2.99,0.76
1,826,0.541,22131,0.179498774,0.053,0.083,0.12,0.133,0.047,0.157,0.407,5.53,18.42,1.78,0.57
1,825,0.6715,19631,0.187334109,0.071,0.097,0.143,0.176,0.029,0.133,0.352,6.49,22.09,2.32,0.56
0,1571,0.4367,21558,0.163043906,0.071,0.073,0.08,0.109,0.018,0.165,0.484,5.91,22.56,1.93,0.49
0,1503,0.4418,21860,0.181568651,0.056,0.115,0.122,0.108,0.009,0.209,0.381,5.63,25.95,2.66,0.63
0,545,0.4935,27954,0.226901437,0.065,0.065,0.07,0.131,0.031,0.165,0.473,3.2,19.94,1.28,0.64
0,828,0.4571,21869,0.19118524,0.039,0.098,0.079,0.152,0.02,0.156,0.455,5.69,18.52,3.89,0.58
0,857,0.4353,26773,0.18827055,0.044,0.063,0.071,0.118,0.026,0.172,0.507,5.66,17.26,1.95,0.72
0,1854,0.3777,28702,0.193156836,0.046,0.149,0.048,0.102,0.008,0.115,0.533,4.58,20.51,1.61,0.66
0,2003,0.4026,23822,0.176052677,0.064,0.142,0.066,0.097,0.008,0.152,0.471,5.02,26.98,2.24,0.71
0,1418,0.396,26668,0.181458001,0.029,0.13,0.086,0.078,0.019,0.159,0.5,6.81,18.7,2.69,0.71
